,IATA_CODE,AIRPORT,CITY,STATE,COUNTRY
99,ELM,Elmira/Corning Regional Airport,Elmira,NY,USA
100,ELP,El Paso International Airport,El Paso,TX,USA
101,ERI,Erie International Airport,Erie,PA,USA
102,ESC,Delta County Airport,Escanaba,MI,USA
103,EUG,Eugene Airport (Mahlon Sweet Field),Eugene,OR,USA
104,EVV,Evansville Regional Airport,Evansville,IN,USA
105,EWN,Coastal Carolina Regional Airport (Craven County Regional),New Bern,NC,USA
106,EWR,Newark Liberty International Airport,Newark,NJ,USA
107,EYW,Key West International Airport,Key West,FL,USA
108,FAI,Fairbanks International Airport,Fairbanks,AK,USA
109,FAR,Hector International Airport,Fargo,ND,USA
110,FAT,Fresno Yosemite International Airport,Fresno,CA,USA
111,FAY,Fayetteville Regional Airport,Fayetteville,NC,USA
112,FCA,Glacier Park International Airport,Kalispell,MT,USA
113,FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,USA
114,FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,USA
115,FNT,Bishop International Airport,Flint,MI,USA
116,FSD,Sioux Falls Regional Airport,Sioux Falls,SD,USA
117,FSM,Fort Smith Regional Airport,Fort Smith,AR,USA
118,FWA,Fort Wayne International Airport,Fort Wayne,IN,USA
119,GCC,Gillette-Campbell County Airport,Gillette,WY,USA
120,GCK,Garden City Regional Airport,Garden City,KS,USA
121,GEG,Spokane International Airport,Spokane,WA,USA
122,GFK,Grand Forks International Airport,Grand Forks,ND,USA
123,GGG,East Texas Regional Airport,Longview,TX,USA
